sample,band_window,raman_shift_cm_inverse,raw_intensity,fitted_background,corrected_intensity,fitted_G_height,normalized_corrected_intensity
dark-1,dg,1101.49,84.65705,79.96331269689306,4.693737303106943,334.144647584141,0.014047022261294825
dark-1,dg,1103.418,91.08202,79.88790282221922,11.194117177780782,334.144647584141,0.03350081247362189
dark-1,dg,1105.347,96.1314,79.81245383453984,16.31894616546016,334.144647584141,0.04883796967404928
dark-1,dg,1107.275,91.76536,79.73704395986599,12.028316040134015,334.144647584141,0.03599733267343498
dark-1,dg,1109.203,78.19173,79.66163408519216,-1.4699040851921552,334.144647584141,-0.00439900532843944
dark-1,dg,1111.132,75.74868,79.58618509751278,-3.837505097512789,334.144647584141,-0.011484562524816342
dark-1,dg,1113.06,85.61076,79.51077522283894,6.099984777161055,334.144647584141,0.018255521437388927
dark-1,dg,1114.989,95.12132,79.43532623515955,15.685993764840447,334.144647584141,0.046943722960250484
dark-1,dg,1116.917,98.93787,79.35991636048573,19.577953639514277,334.144647584141,0.058591253162552454
dark-1,dg,1118.846,96.28255,79.28446737280635,16.998082627193654,334.144647584141,0.050870432161907855
dark-1,dg,1120.774,88.74024,79.20905749813251,9.531182501867491,334.144647584141,0.028524121426986026
dark-1,dg,1122.703,83.94091,79.13360851045313,4.807301489546873,334.144647584141,0.014386887607817646
dark-1,dg,1124.631,94.4861,79.05819863577928,15.427901364220716,334.144647584141,0.0461713257290342
dark-1,dg,1126.56,87.63516,78.98274964809991,8.652410351900087,334.144647584141,0.025894206040578047
dark-1,dg,1128.488,77.59769,78.90733977342606,-1.3096497734260595,334.144647584141,-0.003919409701441578
dark-1,dg,1130.417,81.93101,78.8318907857467,3.0991192142533066,334.144647584141,0.009274783351042357
dark-1,dg,1132.345,90.09622,78.75648091107284,11.33973908892716,334.144647584141,0.03393661748261791
dark-1,dg,1134.274,94.9324,78.68103192339348,16.251368076606525,334.144647584141,0.04863572765298976
dark-1,dg,1136.202,98.96167,78.60562204871962,20.356047951280374,334.144647584141,0.060919868381714884
dark-1,dg,1138.13,102.8289,78.53021217404579,24.298687825954218,334.144647584141,0.07271906942587061
dark-1,dg,1140.059,100.1236,78.4547631863664,21.66883681363359,334.144647584141,0.06484867248450286
dark-1,dg,1141.987,94.91513,78.37935331169257,16.535776688307436,334.144647584141,0.04948688182755811
dark-1,dg,1143.916,96.60668,78.30390432401319,18.30277567598681,334.144647584141,0.05477500779472454
dark-1,dg,1145.844,95.31065,78.22849444933935,17.082155550660644,334.144647584141,0.051122038536796206
